scheme,steps,paths,rmse,bias,across_seed_standard_deviation,mean_standard_error,regime,work,runtime_seconds
euler_maruyama,16,250000,0.04239805424273338,0.0051603353868140411,0.043462976640082571,0.044444466840714375,sampling_dominated,4000000,1.8065482079999999
euler_maruyama,32,1000,0.55848558008889027,0.054097959546872125,0.57408900953548014,0.70869269061059392,sampling_dominated,32000,0.014137874999999999
euler_maruyama,32,10000,0.28848004942784944,-0.022466714173192136,0.29703599902531147,0.22268043377161265,sampling_dominated,320000,0.121098
euler_maruyama,32,100000,0.099457484212058869,-0.019414177127256679,0.10074326918003501,0.070714548957612408,sampling_dominated,3200000,0.90936700000000004
euler_maruyama,32,250000,0.048078372221306342,-0.0091854413269385465,0.048740483303086869,0.044774711305909966,sampling_dominated,8000000,3.3420803330000002
milstein,1,1000,0.83185743688239377,-0.42850772432027456,0.73638245533646818,0.6723934779193671,mixed,1000,0.0010595419999999999
milstein,1,10000,0.48345345618783847,-0.45838755320782365,0.15868827426241994,0.21344361352850533,bias_dominated,10000,0.0069958750000000004
milstein,1,100000,0.4652374488701389,-0.4621654049972439,0.055126736452685586,0.067363957680523404,bias_dominated,100000,0.065472083
milstein,1,250000,0.47082353483359979,-0.46980230532133799,0.032009912930628284,0.042563438996882794,bias_dominated,250000,0.27317124999999998
milstein,2,1000,0.73207865000924055,-0.26452065494919025,0.70500532227180823,0.69958502915743048,sampling_dominated,2000,0.0062104999999999999
milstein,2,10000,0.38100414874375649,-0.33556822863825497,0.18635629040749052,0.2192173408349708,mixed,20000,0.032736874999999999
milstein,2,100000,0.27162476742490993,-0.26183530023861756,0.074635396982678709,0.06938390970644942,bias_dominated,200000,0.2311985
milstein,2,250000,0.27324822163330043,-0.26917625566698467,0.048538468712156335,0.043827349291111706,bias_dominated,500000,0.74255499999999997
milstein,4,1000,0.58433849815688133,-0.11198806015642317,0.59231537078205498,0.71293882277436016,sampling_dominated,4000,0.0015904999999999999
milstein,4,10000,0.34720705256351092,-0.15541507560214241,0.32066413020549867,0.22120023134423084,sampling_dominated,40000,0.013388208
milstein,4,100000,0.17231910524501365,-0.1553966587124368,0.076912088297934819,0.070205578247382897,bias_dominated,400000,0.121582542
milstein,4,250000,0.1548764973689773,-0.1459619094152006,0.053484955513630562,0.044421575827172759,bias_dominated,1000000,0.30229687500000002
milstein,8,1000,0.57604010518257043,0.16149507956254019,0.57107294763998784,0.71929939252826935,sampling_dominated,8000,0.002652125
milstein,8,10000,0.29244152956586988,-0.059971774879113746,0.29561314257238219,0.22379738934248697,sampling_dominated,80000,0.022875916
milstein,8,100000,0.12771703909371249,-0.091205860514355863,0.092336388393457369,0.070752008693256971,mixed,800000,0.22489304099999999
milstein,8,250000,0.09816125918591867,-0.08098815993130859,0.057285723698255894,0.044727346686475968,mixed,2000000,0.75262695899999998
milstein,16,1000,0.53160145037810835,0.076157057624091987,0.54337238758763962,0.70982887002407813,sampling_dominated,16000,0.005060625
milstein,16,10000,0.23320389118903143,-0.0083555096340576264,0.24069729886192098,0.22389445603496411,sampling_dominated,160000,0.093528542000000006
milstein,16,100000,0.097733629682012213,-0.046712110042510746,0.088663204821824645,0.070961848883302564,mixed,1600000,0.88896662500000001
milstein,16,250000,0.06069098219695012,-0.043060050998242949,0.044172115826577013,0.044867119645493544,mixed,4000000,1.1134411660000001
milstein,32,1000,0.54789516778196445,0.015190085395199074,0.56564618027834423,0.7118353960546504,sampling_dominated,32000,0.0092483749999999997
milstein,32,10000,0.29432154873586053,-0.048624672506256794,0.29979693620659909,0.22368624760122158,sampling_dominated,320000,0.088254125000000003
milstein,32,100000,0.1072210805925691,-0.043071298631765516,0.10140991855559417,0.071053667111150756,sampling_dominated,3200000,1.0727899160000001
milstein,32,250000,0.058488810271455922,-0.033517821688790354,0.049504171473618214,0.044988318371928487,mixed,8000000,2.308917042
