study,scheme,parameter,value,price,error,runtime_s
strike_alignment,crank_nicolson_rannacher2,offset,0.25,10.451617055324869,0.0010334831393112864,0.014235375
strike_alignment,crank_nicolson_rannacher2,offset,0.5,10.45278195895299,0.0021983867674322255,0.014239165999999999
strike_alignment,crank_nicolson_rannacher2,offset,0.75,10.451624077465485,0.001040505279927828,0.014199833
strike_alignment,crank_nicolson_rannacher2,offset,0.90000000000000002,10.449821594165014,0.00076197802054345232,0.014166041000000001
explicit_stability,explicit,target_ratio,0.25,10.411445807576985,0.039137764608572212,0.00031924999999999998
explicit_stability,explicit,target_ratio,0.5,10.412124945472909,0.038458626712648325,0.000160292
explicit_stability,explicit,target_ratio,0.90000000000000002,10.413209161477296,0.037374410708261863,9.5791000000000005e-05
explicit_stability,explicit,target_ratio,0.98999999999999999,10.413455903939616,0.037127668245942047,8.1625000000000005e-05
explicit_stability,explicit,target_ratio,1.01,10.413511358166508,0.03707221401904981,8.0500000000000005e-05
explicit_stability,explicit,target_ratio,1.5,10.41484713533244,0.035736436853117226,5.5667000000000001e-05
explicit_stability,explicit,target_ratio,2,-409265114799.41644,409265114809.867,4.1875000000000001e-05
sensitivity,crank_nicolson_rannacher2,sigma=0.1 T=0.25,0.10000000000000001,2.6545528145219022,0.010279407117285366,0.002820417
sensitivity,crank_nicolson_rannacher2,sigma=0.1 T=1,0.10000000000000001,6.7995910149215142,0.0053666939006298264,0.0028166250000000001
sensitivity,crank_nicolson_rannacher2,sigma=0.1 T=3,0.10000000000000001,15.638898976626042,0.0032154358339901989,0.0028269580000000001
sensitivity,crank_nicolson_rannacher2,sigma=0.2 T=0.25,0.20000000000000001,4.6100066394198453,0.0049904901830100101,0.0028185839999999998
sensitivity,crank_nicolson_rannacher2,sigma=0.2 T=1,0.20000000000000001,10.448100858696224,0.002482713489333932,0.0028207499999999999
sensitivity,crank_nicolson_rannacher2,sigma=0.2 T=3,0.20000000000000001,20.922941347906313,0.0014196049888859363,0.0028240409999999998
sensitivity,crank_nicolson_rannacher2,sigma=0.4 T=0.25,0.40000000000000002,8.5501491244186401,0.0024577571502373274,0.002820375
sensitivity,crank_nicolson_rannacher2,sigma=0.4 T=1,0.40000000000000002,18.021775132534366,0.0011763176823222921,0.0028203339999999999
sensitivity,crank_nicolson_rannacher2,sigma=0.4 T=3,0.40000000000000002,32.737048734273188,0.00099563218138598586,0.002984375
sensitivity,crank_nicolson_rannacher2,sigma=0.8 T=0.25,0.80000000000000004,16.380996623343609,0.0011866213048783436,0.0028192920000000002
sensitivity,crank_nicolson_rannacher2,sigma=0.8 T=1,0.80000000000000004,32.815764840649784,0.0052176263402685663,0.0028339580000000001
sensitivity,crank_nicolson_rannacher2,sigma=0.8 T=3,0.80000000000000004,53.963707667949805,0.83198669807572401,0.0028544170000000002
