scenario,paths,analytic,rmse,bias,mean_standard_error,mean_ci_width,coverage,seed_count,runtime_seconds
short_maturity,1024000,3.6585674067004632,0.0060220598227066005,0.00024781021934684722,0.0053963008833619762,0.021153135769996667,0.96875,32,4.5568994580000002
long_maturity,1000,35.957806538443236,2.3073769128896902,0.023449391767926792,2.1114628146012842,8.2868220494669185,0.90625,32,0.0047550830000000002
long_maturity,4000,35.957806538443236,1.1344097075635973,-0.026067227837323508,1.0377471530745448,4.0691256732277239,0.9375,32,0.022849375000000002
long_maturity,16000,35.957806538443236,0.48191926369587151,-0.12055470006575765,0.52167231083315513,2.0450725966280303,0.96875,32,0.14298866700000001
long_maturity,64000,35.957806538443236,0.26032384425974708,0.051296465318939388,0.26043570443270841,1.02090850962399,0.9375,32,1.329429583
long_maturity,256000,35.957806538443236,0.11701009127222679,-0.0078713796544702674,0.13034685181275102,0.51095268590664167,0.9375,32,2.3251149170000001
long_maturity,1024000,35.957806538443236,0.069118871714838534,0.004724510265704529,0.065181731911785237,0.25550799606164754,0.96875,32,2.4435532499999999
low_volatility,1000,6.804957708822144,0.276381396365942,-0.0051661443745152115,0.2444680779978215,0.95945969075742255,0.875,32,0.0025088749999999998
low_volatility,4000,6.804957708822144,0.12930916990335165,0.0028301324227678884,0.12215202153470248,0.4789720939160394,0.9375,32,0.0078110419999999998
low_volatility,16000,6.804957708822144,0.055228889674670406,-0.013989738522657669,0.061032185847246526,0.23925987290598616,1,32,0.029370166999999999
low_volatility,64000,6.804957708822144,0.02917613702067769,0.0073395055450901628,0.030585762724373588,0.11989625426617023,0.96875,32,0.13149008300000001
low_volatility,256000,6.804957708822144,0.013674196998899343,-0.00032017737686920733,0.015282348136006763,0.059905987129404148,0.96875,32,0.46073445800000001
low_volatility,1024000,6.804957708822144,0.0088047776530425347,0.00040997377131057883,0.0076434497822776342,0.029961808003363281,0.9375,32,2.0873977090000002
high_volatility,1000,32.820982466990053,2.6793876981739553,0.042722818818928199,2.5758564132602735,10.109419675333843,0.90625,32,0.0025544169999999998
high_volatility,4000,32.820982466990053,1.3942800700402163,-0.046172863692721743,1.2513324422148737,4.9066181017925903,0.9375,32,0.0079580410000000008
high_volatility,16000,32.820982466990053,0.58606931600169887,-0.14579762630891258,0.63245856545336265,2.4793795910801526,0.9375,32,0.029532459
high_volatility,64000,32.820982466990053,0.3216158679627264,0.053301114412557471,0.31424258336081284,1.2318315882919633,0.90625,32,0.11689337499999999
high_volatility,256000,32.820982466990053,0.14187409718069391,-0.01339216208175897,0.15760562704475448,0.61780562654632698,0.96875,32,0.46886008299999998
high_volatility,1024000,32.820982466990053,0.078601244630414943,0.0061933465945112048,0.07877506653336655,0.3087929516325762,0.96875,32,1.867848875
